"time","timePretty","ANGLE","isReviewed","isReviewedPositiveSighting"
"1539943676924","Friday, October 19, 2018 9:07 PM","CLOSE",,
"1539843448892","Thursday, October 18, 2018 5:17 PM","UPROAD",,
"1539819712899","Thursday, October 18, 2018 10:41 AM","UPROAD",,
"1539811919385","Thursday, October 18, 2018 8:31 AM","CLOSE",,
"1539662201084","Tuesday, October 16, 2018 2:56 PM","UPROAD",,
"1539851940661","Thursday, October 18, 2018 7:39 PM","UPROAD",,
"1539634371394","Tuesday, October 16, 2018 7:12 AM","UPROAD",,
"1539914629122","Friday, October 19, 2018 1:03 PM","UPROAD",,
"1539669499674","Tuesday, October 16, 2018 4:58 PM","CLOSE",,
"1539809887577","Thursday, October 18, 2018 7:58 AM","UPROAD",,
"1539631314483","Tuesday, October 16, 2018 6:21 AM","UPROAD",,
"1539949422659","Friday, October 19, 2018 10:43 PM","UPROAD",,
"1539861297644","Thursday, October 18, 2018 10:14 PM","UPROAD",,
"1539735011708","Wednesday, October 17, 2018 11:10 AM","UPROAD",,
"1539813887373","Thursday, October 18, 2018 9:04 AM","UPROAD",,
"1539846176913","Thursday, October 18, 2018 6:02 PM","UPROAD",,
"1539751823229","Wednesday, October 17, 2018 3:50 PM","UPROAD",,
"1539672421816","Tuesday, October 16, 2018 5:47 PM","UPROAD",,
"1539808482591","Thursday, October 18, 2018 7:34 AM","UPROAD",,
"1539649885052","Tuesday, October 16, 2018 11:31 AM","UPROAD",,
"1539819312069","Thursday, October 18, 2018 10:35 AM","CLOSE",,
"1539750440111","Wednesday, October 17, 2018 3:27 PM","CLOSE",,
"1539625435619","Tuesday, October 16, 2018 4:43 AM","CLOSE",,
"1539952136002","Friday, October 19, 2018 11:28 PM","CLOSE",,
"1539672461618","Tuesday, October 16, 2018 5:47 PM","UPROAD",,
"1539800292273","Thursday, October 18, 2018 5:18 AM","UPROAD",,
"1539737373368","Wednesday, October 17, 2018 11:49 AM","CLOSE",,
"1539649413307","Tuesday, October 16, 2018 11:23 AM","CLOSE",,
"1539736670665","Wednesday, October 17, 2018 11:37 AM","UPROAD",,
"1539635813087","Tuesday, October 16, 2018 7:36 AM","UPROAD",,
"1539853271315","Thursday, October 18, 2018 8:01 PM","CLOSE",,
"1539801629899","Thursday, October 18, 2018 5:40 AM","UPROAD",,
"1539662892858","Tuesday, October 16, 2018 3:08 PM","CLOSE",,
"1539846996351","Thursday, October 18, 2018 6:16 PM","CLOSE",,
"1539841678988","Thursday, October 18, 2018 4:47 PM","CLOSE",,
"1539649822788","Tuesday, October 16, 2018 11:30 AM","UPROAD",,
"1539762778170","Wednesday, October 17, 2018 6:52 PM","CLOSE",,
"1539660498854","Tuesday, October 16, 2018 2:28 PM","UPROAD",,
"1539668459076","Tuesday, October 16, 2018 4:40 PM","CLOSE",,
"1539824700832","Thursday, October 18, 2018 12:04 PM","CLOSE",,
"1539760845811","Wednesday, October 17, 2018 6:20 PM","CLOSE",,
"1539755055904","Wednesday, October 17, 2018 4:44 PM","UPROAD",,
"1539731587719","Wednesday, October 17, 2018 10:13 AM","UPROAD",,
"1539627249574","Tuesday, October 16, 2018 5:14 AM","CLOSE",,
"1539669126888","Tuesday, October 16, 2018 4:52 PM","CLOSE",,
"1539667776966","Tuesday, October 16, 2018 4:29 PM","CLOSE",,
"1539671644460","Tuesday, October 16, 2018 5:34 PM","UPROAD",,
"1539812506307","Thursday, October 18, 2018 8:41 AM","UPROAD",,
"1539671420782","Tuesday, October 16, 2018 5:30 PM","UPROAD",,
"1539820888373","Thursday, October 18, 2018 11:01 AM","UPROAD",,
"1539666811903","Tuesday, October 16, 2018 4:13 PM","CLOSE",false,
"1539909206976","Friday, October 19, 2018 11:33 AM","UPROAD",,
"1539664398198","Tuesday, October 16, 2018 3:33 PM","CLOSE",,
"1539761989149","Wednesday, October 17, 2018 6:39 PM","UPROAD",,
"1539932480652","Friday, October 19, 2018 6:01 PM","UPROAD",,
"1539851700975","Thursday, October 18, 2018 7:35 PM","UPROAD",,
"1539742448196","Wednesday, October 17, 2018 1:14 PM","CLOSE",,
"1539802297036","Thursday, October 18, 2018 5:51 AM","UPROAD",,
"1539805357461","Thursday, October 18, 2018 6:42 AM","CLOSE",,
"1539635809714","Tuesday, October 16, 2018 7:36 AM","UPROAD",,
"1539626925605","Tuesday, October 16, 2018 5:08 AM","CLOSE",,
"1539913820554","Friday, October 19, 2018 12:49 PM","CLOSE",,
"1539669911507","Tuesday, October 16, 2018 5:05 PM","CLOSE",,
"1539669536777","Tuesday, October 16, 2018 4:58 PM","CLOSE",,
"1539630746238","Tuesday, October 16, 2018 6:12 AM","UPROAD",,
"1539940895474","Friday, October 19, 2018 8:21 PM","UPROAD",,
"1539824487276","Thursday, October 18, 2018 12:01 PM","UPROAD",,
"1539856544029","Thursday, October 18, 2018 8:55 PM","UPROAD",,
"1539635327440","Tuesday, October 16, 2018 7:28 AM","CLOSE",,
"1539852275925","Thursday, October 18, 2018 7:44 PM","CLOSE",,
"1539804299078","Thursday, October 18, 2018 6:24 AM","UPROAD",,
"1539945310635","Friday, October 19, 2018 9:35 PM","CLOSE",,
"1539938352828","Friday, October 19, 2018 7:39 PM","UPROAD",,
"1539828689082","Thursday, October 18, 2018 1:11 PM","UPROAD",,
"1539811358346","Thursday, October 18, 2018 8:22 AM","CLOSE",,
"1539818498949","Thursday, October 18, 2018 10:21 AM","UPROAD",,
"1539670885712","Tuesday, October 16, 2018 5:21 PM","CLOSE",,
"1539869479952","Friday, October 19, 2018 12:31 AM","UPROAD",,
"1539845540888","Thursday, October 18, 2018 5:51 PM","CLOSE",,
"1539856627808","Thursday, October 18, 2018 8:57 PM","UPROAD",,
"1539654021715","Tuesday, October 16, 2018 12:40 PM","CLOSE",,
"1539864956219","Thursday, October 18, 2018 11:15 PM","CLOSE",,
"1539838514267","Thursday, October 18, 2018 3:54 PM","CLOSE",,
"1539859074904","Thursday, October 18, 2018 9:37 PM","UPROAD",,
"1539751073228","Wednesday, October 17, 2018 3:37 PM","UPROAD",,
"1539657901030","Tuesday, October 16, 2018 1:45 PM","CLOSE",,
"1539741689053","Wednesday, October 17, 2018 1:01 PM","CLOSE",,
"1539849260616","Thursday, October 18, 2018 6:54 PM","UPROAD",,
"1539848841973","Thursday, October 18, 2018 6:47 PM","UPROAD",,
"1539806664870","Thursday, October 18, 2018 7:04 AM","UPROAD",,
"1539660967047","Tuesday, October 16, 2018 2:36 PM","UPROAD",,
"1539659896753","Tuesday, October 16, 2018 2:18 PM","CLOSE",,
"1539848509991","Thursday, October 18, 2018 6:41 PM","UPROAD",,
"1539757348266","Wednesday, October 17, 2018 5:22 PM","UPROAD",,
"1539651087929","Tuesday, October 16, 2018 11:51 AM","CLOSE",,
"1539650806766","Tuesday, October 16, 2018 11:46 AM","CLOSE",,
"1539662802840","Tuesday, October 16, 2018 3:06 PM","CLOSE",,
"1539657677561","Tuesday, October 16, 2018 1:41 PM","CLOSE",,
"1539670554060","Tuesday, October 16, 2018 5:15 PM","UPROAD",,
"1539910090547","Friday, October 19, 2018 11:47 AM","UPROAD",,
"1539748708592","Wednesday, October 17, 2018 2:58 PM","UPROAD",,
"1539642182303","Tuesday, October 16, 2018 9:23 AM","CLOSE",,
"1539811601823","Thursday, October 18, 2018 8:26 AM","UPROAD",,
"1539664428988","Tuesday, October 16, 2018 3:33 PM","UPROAD",,
"1539940920157","Friday, October 19, 2018 8:22 PM","UPROAD",,
"1539820898962","Thursday, October 18, 2018 11:01 AM","CLOSE",,
"1539849736436","Thursday, October 18, 2018 7:02 PM","UPROAD",,
"1539809655008","Thursday, October 18, 2018 7:54 AM","UPROAD",,
"1539761531816","Wednesday, October 17, 2018 6:32 PM","UPROAD",,
"1539814365236","Thursday, October 18, 2018 9:12 AM","UPROAD",,
"1539634818318","Tuesday, October 16, 2018 7:20 AM","CLOSE",,
"1539663300129","Tuesday, October 16, 2018 3:15 PM","UPROAD",,
"1539844383098","Thursday, October 18, 2018 5:33 PM","UPROAD",,
"1539670912883","Tuesday, October 16, 2018 5:21 PM","UPROAD",,
"1539760170454","Wednesday, October 17, 2018 6:09 PM","CLOSE",,
"1539829113737","Thursday, October 18, 2018 1:18 PM","CLOSE",,
"1539663636451","Tuesday, October 16, 2018 3:20 PM","CLOSE",,
"1539954688104","Saturday, October 20, 2018 12:11 AM","CLOSE",,
"1539804517873","Thursday, October 18, 2018 6:28 AM","CLOSE",,
"1539848933136","Thursday, October 18, 2018 6:48 PM","UPROAD",,
"1539822273997","Thursday, October 18, 2018 11:24 AM","UPROAD",,
"1539667758610","Tuesday, October 16, 2018 4:29 PM","CLOSE",,
"1539829450159","Thursday, October 18, 2018 1:23 PM","UPROAD",,
"1539760354658","Wednesday, October 17, 2018 6:12 PM","CLOSE",,
"1539660230194","Tuesday, October 16, 2018 2:23 PM","CLOSE",,
"1539819866853","Thursday, October 18, 2018 10:44 AM","UPROAD",,
"1539762931975","Wednesday, October 17, 2018 6:55 PM","UPROAD",,
"1539651442064","Tuesday, October 16, 2018 11:57 AM","UPROAD",,
"1539733600968","Wednesday, October 17, 2018 10:46 AM","UPROAD",,
"1539649316954","Tuesday, October 16, 2018 11:21 AM","CLOSE",,
